;"Transport";"Industry";"Residential";"Other";"Commercial and public services";"Agriculture"
"1990-01-01 00:00:00";351,36556;2719,6755000000003;3382,2017100000003;675,56344;180,12544;338,87494000000004
"1991-01-01 00:00:00";381,75475000000006;2860,67762;3433,12948;693,22941;192,91844000000003;351,4586
"1992-01-01 00:00:00";426,18135000000007;2979,5943700000003;3386,8420800000004;722,12996;211,46829000000002;343,5502
"1993-01-01 00:00:00";486,75039000000004;3213,4271500000004;3400,530590000001;693,88069;267,15273;345,30633
"1994-01-01 00:00:00";453,73282000000006;3410,75336;3358,89519;796,15491;255,08079000000006;359,55308
"1995-01-01 00:00:00";498,96189000000004;3836,178760000001;3430,8616300000012;688,6123;270,57195;395,74564000000004
"1996-01-01 00:00:00";664,94525;3628,2459900000003;3244,68859;711,53503;363,36772;257,87199
"1997-01-01 00:00:00";580,0113600000001;3582,2377100000003;3414,1028;791,6192100000002;328,25675;414,8653600000002
"1998-01-01 00:00:00";558,43771;3806,23151;3239,7923600000004;795,9804600000001;339,47970000000004;444,92891000000003
"1999-01-01 00:00:00";624,05417;3399,0186900000012;3252,69003;767,56837;380,91739;466,3978900000001
"2000-01-01 00:00:00";971,6516100000002;3514,760450000001;3229,965010000001;877,5649099999999;274,49125999999995;216,86461
"2001-01-01 00:00:00";997,0864200000003;3721,413920000001;3159,83611;905,60484;293,01785;233,35595000000004
"2002-01-01 00:00:00";1083,81133;3938,74373;3177,40904;1008,68153;304,28732;253,4177
"2003-01-01 00:00:00";1232,10546;4527,27988;3217,1487500000003;1155,13812;345,82968000000005;289,80797
"2004-01-01 00:00:00";1455,3316800000002;5760,769310000001;3284,71905;1262,56443;424,86716;328,98944
"2005-01-01 00:00:00";1562,7114700000002;7210,460440000001;3322,9933800000003;1357,5699000000002;447,39447000000007;364,72843000000006
"2006-01-01 00:00:00";1715,1575100000002;7858,20492;3415,75426;1470,4506800000001;487,70405000000005;384,2552
"2007-01-01 00:00:00";1852,5892199999998;8556,56316;3388,8657000000003;1580,85427;534,6311000000001;378,4402
"2008-01-01 00:00:00";2021,7126799999999;9041,638830000002;3264,90153;1661,1594200000002;536,56168;367,24051000000003
"2009-01-01 00:00:00";2073,00098;9567,314830000001;3267,6811000000007;1817,4200999999998;577,51091;380,7196800000001
"2010-01-01 00:00:00";2287,94664;10543,944080000001;3260,6798400000002;1787,75197;641,8713300000001;398,18794
"2011-01-01 00:00:00";2511,2310100000004;11314,14083;3301,0940900000005;1991,056;721,71128;417,40070000000003
"2012-01-01 00:00:00";2771,0103200000003;11616,88136;3348,2886300000005;2101,8899000000006;788,38607;431,27529
"2013-01-01 00:00:00";3000,4120700000008;11750,789180000002;3457,8897500000003;2250,1491400000004;842,31438;459,32685
"2014-01-01 00:00:00";3126,8650600000005;11861,77427;3532,70554;2474,3406500000006;862,79481;472,52690000000007
"2015-01-01 00:00:00";3364,89627;11821,44143;3655,98354;2522,244620000001;918,8863000000001;482,5403300000001
"2016-01-01 00:00:00";3450,0511300000003;11559,68502;3775,1212600000013;2665,72393;954,7881100000003;498,3455000000001
