;"Transport";"Industry";"Residential";"Other";"Commercial and public services";"Agriculture"
"1990-01-01 00:00:00";633,31165;769,5338400000002;732,31784;300,00748;337,02577;28,167859999999997
"1991-01-01 00:00:00";645,68597;703,4987000000001;753,9031200000001;289,00550000000004;344,02703;31,354480000000006
"1992-01-01 00:00:00";655,0016;669,87637;722,0020300000001;291,85485;328,93129000000005;30,74972
"1993-01-01 00:00:00";672,51638;636,6610900000001;769,3593900000001;277,63136;323,98854;23,26
"1994-01-01 00:00:00";661,9912300000001;631,88116;739,91223;306,12486;305,81085;23,69031
"1995-01-01 00:00:00";670,20201;633,2302400000001;769,12679;317,52226;300,34475000000003;23,0274
"1996-01-01 00:00:00";675,13313;615,25026;839,8255600000001;324,33744;337,02577;23,73683
"1997-01-01 00:00:00";678,63376;607,49305;827,3814600000001;341,96852000000007;301,1007;23,620530000000002
"1998-01-01 00:00:00";689,2984700000001;600,8174300000001;815,7282;347,63233;293,71565;23,853130000000004
"1999-01-01 00:00:00";707,5808300000001;598,78218;766,1960300000001;342,06156;300,42616;3,1401000000000003
"2000-01-01 00:00:00";692,1013;597,04931;757,33397;342,09645;299,27479000000005;3,3727
"2001-01-01 00:00:00";678,18019;588,11747;809,6457100000001;341,44517;317,52226;3,1517300000000006
"2002-01-01 00:00:00";670,4811300000001;589,4084;779,9426900000001;340,36358;314,25423;3,09358
"2003-01-01 00:00:00";659,7233800000001;618,4834000000001;771,6853900000001;273,08403;401,68857;0,37216000000000005
"2004-01-01 00:00:00";661,4562500000001;627,42687;748,72777;280,96917;393,16378;0,36053
"2005-01-01 00:00:00";639,1848000000001;630,31111;737,3071100000001;290,47088;385,42983;0,17445
"2006-01-01 00:00:00";647,00016;640,5571400000001;741,9474800000002;282,74856000000005;417,57515000000006;0,09304000000000001
"2007-01-01 00:00:00";631,3229200000001;667,03865;632,49755;274,16562000000005;358,11096;0
"2008-01-01 00:00:00";622,12359;655,97852;703,7080400000001;264,97792;391,71003;0
"2009-01-01 00:00:00";611,3891000000001;581,70934;679,6106800000001;248,28887000000003;380,59175000000005;0
"2010-01-01 00:00:00";618,2624300000001;643,1506300000001;725,5259199999999;264,5825;410,62041;0
"2011-01-01 00:00:00";623,91461;650,9194699999999;633,8117400000002;262,01227;370,58995;0
"2012-01-01 00:00:00";619,1812000000001;641,0804900000002;657,5602;255,53436000000002;386,13926;0
"2013-01-01 00:00:00";630,6018600000001;641,7434000000001;693,3806000000002;254,53418000000002;400,52557;0
"2014-01-01 00:00:00";639,6267400000002;638,3241800000001;596,52596;258,7558700000001;382,72004000000004;0
"2015-01-01 00:00:00";647,70959;642,89477;617,87864;248,74244;403,4795900000001;0
"2016-01-01 00:00:00";661,13061;646,1744300000001;650,80317;251,34756000000004;394,83850000000007;0
