;"Transport";"Industry";"Residential";"Other";"Commercial and public services";"Agriculture"
"1990-01-01 00:00:00";447,59218;365,87980000000005;407,89899;166,28574;219,44647;40,36773
"1991-01-01 00:00:00";460,02465;374,14873;460,9899400000001;188,09198999999998;243,93925000000004;40,49566
"1992-01-01 00:00:00";469,42169;378,54487;454,63996000000003;190,81341;243,99740000000003;41,76333
"1993-01-01 00:00:00";473,38752000000005;367,78712;442,6378000000001;168,77456;244,83476000000002;42,01919
"1994-01-01 00:00:00";477,3184600000001;365,84490999999997;417,87753;179,90447;239,62452000000002;41,635400000000004
"1995-01-01 00:00:00";480,78420000000006;378,04478;411,14376000000016;201,199;245,14877;41,99593000000001
"1996-01-01 00:00:00";481,29591999999997;391,52395;454,32595;193,44179;263,87307000000004;43,60087
"1997-01-01 00:00:00";491,48380000000003;393,25682;429,0307;206,10686000000004;251,20800000000003;43,17056
"1998-01-01 00:00:00";508,1147;389,22121;441,52132;220,33035;258,59305;44,263780000000004
"1999-01-01 00:00:00";509,84757;384,59247000000005;447,18513;218,57422000000003;263,48928;43,914880000000004
"2000-01-01 00:00:00";521,40779;383,96445000000006;470,68936;248,85874;216,45756;44,57779000000001
"2001-01-01 00:00:00";527,83918;400,40927000000005;492,5421300000001;262,76822000000004;223,40067000000002;45,14766
"2002-01-01 00:00:00";527,40887;391,27972;473,2712200000001;256,99974000000003;212,86389000000003;43,56598000000001
"2003-01-01 00:00:00";521,59387;391,19831000000005;492,30953000000005;259,22107000000005;236,91473;43,112410000000004
"2004-01-01 00:00:00";522,5359000000001;377,40513000000004;511,41762;258,01155000000006;243,97414000000003;49,64847
"2005-01-01 00:00:00";516,0347300000001;388,60482;498,58973000000003;253,39444000000003;243,27634000000006;49,40424000000001
"2006-01-01 00:00:00";518,26769;375,7653;489,86723000000006;256,36009;235,30979000000002;48,6134
"2007-01-01 00:00:00";522,9778400000001;371,00863000000004;450,6625;260,52363;237,29852000000002;47,38062
"2008-01-01 00:00:00";510,30114000000003;362,86763;490,07657;246,43970000000004;239,28725;48,20635000000001
"2009-01-01 00:00:00";506,41672;316,98728;500,77617;181,12562;263,61721;48,42732
"2010-01-01 00:00:00";506,6958400000001;336,25819;514,1971900000001;177,55521000000002;277,45691;48,55525
"2011-01-01 00:00:00";505,83522000000005;332,10627999999997;437,0554;179,66024000000002;258,70935000000003;48,76459000000001
"2012-01-01 00:00:00";504,68385000000006;321,47646000000003;481,02843;176,76436999999999;274,53778;47,84582
"2013-01-01 00:00:00";501,78798000000006;324,79101;507,90536;172,14726000000002;280,55049;49,25305000000001
"2014-01-01 00:00:00";504,8583;312,33528;419,93604;179,26482000000001;257,39516;48,53199
"2015-01-01 00:00:00";509,55681999999996;311,24206;442,97507;173,11255;264,48946;48,75296000000001
"2016-01-01 00:00:00";509,7429;311,84682000000004;463,2694200000001;165,97173;269,80437000000006;49,03208000000001
