;"Transport";"Industry";"Residential";"Other";"Commercial and public services";"Agriculture"
"1990-01-01 00:00:00";241,29924000000003;776,33739;1392,1342600000003;208,73524;105,91441000000002;100,27386
"1991-01-01 00:00:00";251,45223000000001;795,6548200000001;1415,8362;224,81953000000001;113,69488000000001;112,83426
"1992-01-01 00:00:00";259,15129;811,63444;1438,56122;236,04248;112,63655000000001;122,60346000000001
"1993-01-01 00:00:00";263,04734;813,0300400000001;1455,5759100000002;229,29708000000002;109,9035;134,98941
"1994-01-01 00:00:00";273,85161;849,85062;1480,76649;253,85964;115,69524000000001;149,72462000000002
"1995-01-01 00:00:00";303,27551;846,12902;1503,8985600000003;287,50523000000004;117,70723000000001;166,26248
"1996-01-01 00:00:00";324,69797000000005;853,4210300000001;1524,9372300000002;297,90245000000004;120,63799;169,43747000000002
"1997-01-01 00:00:00";332,83897;895,40533;1558,8968300000001;328,61728000000005;127,87185;178,43909000000002
"1998-01-01 00:00:00";344,72483;920,5842800000001;1593,2634800000003;290,9011900000001;108,9731;188,42926000000003
"1999-01-01 00:00:00";362,89089000000007;949,32201;1619,46587;319,60403;117,61419000000001;187,1267
"2000-01-01 00:00:00";371,21797000000004;970,0583;1639,2252399999998;373,74168000000003;118,03287;179,33460000000002
"2001-01-01 00:00:00";371,26449;968,8022600000002;1663,5552;361,66974;120,91711000000001;173,5196
"2002-01-01 00:00:00";383,53414000000004;1024,7658199999998;1701,9458300000001;384,68551;128,19749000000002;177,63662
"2003-01-01 00:00:00";391,36113;1000,8894300000002;1740,48765;415,35382;135,07082000000003;178,50887
"2004-01-01 00:00:00";424,30892000000006;1062,67962;1788,8335600000003;440,55603;134,27998;183,57955
"2005-01-01 00:00:00";450,30197000000004;1173,3623300000002;1772,5050400000007;443,05647999999997;141,19983;179,27645
"2006-01-01 00:00:00";470,7824;1277,92766;1716,79734;473,05025000000006;149,32920000000001;198,76833
"2007-01-01 00:00:00";555,23946;1383,7722899999999;1789,1243100000004;489,75093;154,16728;196,48885
"2008-01-01 00:00:00";632,9162300000002;1502,04939;1869,8830300000002;510,95242;163,62247000000002;192,60443
"2009-01-01 00:00:00";692,4269400000001;1678,2787800000003;1965,3537000000003;566,89272;184,38202;212,10794
"2010-01-01 00:00:00";747,28565;1848,7745800000002;2057,06788;547,4241000000001;198,33802000000003;225,55222
"2011-01-01 00:00:00";812,4834300000001;1960,8645200000003;2150,25907;539,59711;212,23587000000003;248,13768
"2012-01-01 00:00:00";857,4101199999999;1910,85552;2104,42524;612,0985300000001;223,62163999999999;261,61685000000006
"2013-01-01 00:00:00";877,4602400000003;2020,4450100000001;2069,7213200000006;602,92246;226,00579000000002;268,653
"2014-01-01 00:00:00";914,10637;2157,63249;2050,06662;616,57608;236,07737;285,10945000000004
"2015-01-01 00:00:00";1000,23815;2160,6097700000005;2024,3061700000005;694,13655;255,60414000000003;288,74964000000006
"2016-01-01 00:00:00";1046,15339;2240,10082;2069,30264;708,39493;277,92211;313,84718000000004
