;"Transport";"Industry";"Residential";"Other";"Commercial and public services";"Agriculture"
"1990-01-01 00:00:00";5670,4391000000005;3300,07065;2441,04396;1612,65069;1852,3217300000006;167,53015
"1991-01-01 00:00:00";5561,48926;3301,0940900000005;2524,18683;1642,57468;1865,8125300000002;167,13473
"1992-01-01 00:00:00";5682,1854;3234,7449400000005;2552,4593600000003;1633,8289200000002;1866,18469;182,37003
"1993-01-01 00:00:00";5800,50902;3255,31841;2853,6531000000004;1410,75389;1922,03195;173,50797000000003
"1994-01-01 00:00:00";6011,59352;3310,9447;2824,4618000000005;1504,74755;1955,0378899999998;176,85741000000002
"1995-01-01 00:00:00";6135,51117;3172,93149;2880,78589;1641,6675400000004;2015,4906300000007;176,81089
"1996-01-01 00:00:00";6280,81639;3206,6003400000004;3046,33894;1729,0786200000002;2087,68967;181,27681
"1997-01-01 00:00:00";6386,05626;3341,50834;2931,4578;1775,83122;2121,40504;183,38184
"1998-01-01 00:00:00";6533,466509999999;3363,48904;2834,25426;1731,52092;2090,9111799999996;168,63500000000002
"1999-01-01 00:00:00";6714,278120000001;3545,18453;2937,47051;1847,3789800000002;2135,16333;154,81856
"2000-01-01 00:00:00";6841,25446;3864,4861800000003;3071,0061700000006;1797,3816100000001;2245,2063900000003;164,02952
"2001-01-01 00:00:00";6851,291150000001;3604,03233;3003,73825;1789,3685400000002;2247,90455;180,24174
"2002-01-01 00:00:00";6948,4598000000005;3218,9630300000003;3045,4550600000007;1983,6825800000001;2281,14309;240,64795999999998
"2003-01-01 00:00:00";7055,246459999999;3213,4736700000003;3154,2886000000003;1941,18656;2316,97512;221,51661000000001
"2004-01-01 00:00:00";7157,26482;3325,0518900000006;3097,3481200000006;2057,38189;2336,467;259,11640000000006
"2005-01-01 00:00:00";7244,24559;3214,7064500000006;3159,5221000000006;1971,8665000000003;2330,54733;257,70917000000003
"2006-01-01 00:00:00";7273,39037;3358,44162;2948,33293;1968,4007600000002;2296,2272000000003;282,92301
"2007-01-01 00:00:00";7310,95527;3320,7836800000005;3109,2572400000004;1941,7448000000002;2380,7424100000003;266,36189
"2008-01-01 00:00:00";6989,385770000001;3247,9217299999996;3115,3281;1804,19679;2405,02585;255,80185000000003
"2009-01-01 00:00:00";6686,680130000001;2872,0401300000003;3053,52628;1642,6212000000003;2387,5575900000003;243,97414000000003
"2010-01-01 00:00:00";6928,607390000001;3145,0892700000004;3141,4723400000003;1715,3087000000003;2411,50376;254,06898
"2011-01-01 00:00:00";6764,53135;3054,79395;3048,40908;1643,4934500000002;2391,4071200000003;240,92708
"2012-01-01 00:00:00";6695,507300000001;3086,5903700000003;2792,45604;1740,5225400000004;2279,5381500000003;225,36614000000003
"2013-01-01 00:00:00";6930,317;3077,1119200000003;3074,25094;1670,1028900000001;2400,5134100000005;240,26417000000004
"2014-01-01 00:00:00";6901,63742;3079,7286700000004;3148,1247000000003;1803,2780200000002;2459,15187;228,97144
"2015-01-01 00:00:00";7149,228490000001;3018,48509;2976,01233;1729,93924;2420,28441;241,18294000000006
"2016-01-01 00:00:00";7231,394440000001;3069,79665;2875,59891;1775,99404;2430,6002200000007;236,46116000000004
