;"Biofuels and waste";"Coal";"Crude oil";"Electricity";"Gas";"Geothermal";"Heat";"Oil products"
"1971-01-01 00:00:00";0;0;0;0;0;;0;0
"1975-01-01 00:00:00";0;0;0;0;0;;0;0
"1980-01-01 00:00:00";0;0;0;0;0;;0;0
"1985-01-01 00:00:00";0;0;0;0;0;;0;0
"1990-01-01 00:00:00";1515,8193100000003;444,75446;0;215,02707000000004;65,56994;0,09304000000000001;0;583,44221
"1995-01-01 00:00:00";1588,7394100000001;424,40196;0;315,19626;97,72689;0,24423000000000003;0;798,44602
"2000-01-01 00:00:00";1679,6046000000006;385,49961;0;376,2188700000001;112,45047000000001;0,4070500000000001;0;1097,44169
"2005-01-01 00:00:00";1775,0985300000002;511,97586;0;489,42529;154,30684;1,1164800000000001;0;1227,76747
"2010-01-01 00:00:00";2004,6979900000001;1012,6241000000003;0;725,99112;316,49882;3,39596;0;1561,2228300000002
"2015-01-01 00:00:00";1870,1272600000004;1143,32204;0;1033,34876;341,16605000000004;7,71069;0;2027,98125
