;"Oil";"Coal";"Gas";"Nuclear";"Hydroelectricity";"Biomass and Waste";"Wind";"Solar, Tide, Wave, Fuel Cell";"Fuel Ethanol";"Geothermal";"Biodiesel";"Peat"
"1900-01-01 00:00:21";0;0;0;;0;;;;;;;
"1901-01-01 00:00:21";0;0;0;;0;;;;;;;
"1902-01-01 00:00:21";0;0,2906337;0;;0;;;;;;;
"1903-01-01 00:00:21";0;6,021930264;0;;0;;;;;;;
"1904-01-01 00:00:21";0;6,411379421999999;0;;0;;;;;;;
"1905-01-01 00:00:21";0;7,050773562000001;0;;0;;;;;;;
"1906-01-01 00:00:21";0;52,50588424200001;0;;0;;;;;;;
"1907-01-01 00:00:21";0;51,67467186000001;0;;0;;;;;;;
"1908-01-01 00:00:21";0;69,75208799999999;0;;0;;;;;;;
"1909-01-01 00:00:21";0;63,93941399999999;0;;0;;;;;;;
"1910-01-01 00:00:21";0;57,53384725200001;0;;0;;;;;;;
"1911-01-01 00:00:21";0;85,44630779999997;0;;0;;;;;;;
"1912-01-01 00:00:00";0;30,028273884;0;;0;;;;;;;
"1913-01-01 00:00:00";0;33,004362971999996;0;;0;;;;;;;
"1914-01-01 00:00:00";0;46,350262476000005;0;;0;;;;;;;
"1915-01-01 00:00:00";0;49,36704028199999;0;;0;;;;;;;
"1916-01-01 00:00:00";0;55,121587542000015;0;;0;;;;;;;
"1917-01-01 00:00:00";0;60,91101084599999;0;;0;;;;;;;
"1918-01-01 00:00:00";0;64,57299546600001;0;;0;;;;;;;
"1919-01-01 00:00:00";0;74,43129057000003;0;;0;;;;;;;
"1920-01-01 00:00:00";0;82,138896294;0;;0;;;;;;;
"1921-01-01 00:00:00";0;77,5991979;0;;0;;;;;;;
"1922-01-01 00:00:00";0;81,72619644000001;0;;0;;;;;;;
"1923-01-01 00:00:00";0;98,65851580199998;0;;0;;;;;;;
"1924-01-01 00:00:00";0;107,67978584999996;0;;0;;;;;;;
"1925-01-01 00:00:00";0;101,942676612;0;;0;;;;;;;
"1926-01-01 00:00:00";0,023260000000000003;90,77652985799999;0;;0;;;;;;;
"1927-01-01 00:00:00";0,034890000000000004;102,849453756;0;;0;;;;;;;
"1928-01-01 00:00:00";0,034890000000000004;104,51187851999997;0;;0;;;;;;;
"1929-01-01 00:00:00";0,046520000000000006;109,59215559599998;0;;0;;;;;;;
"1930-01-01 00:00:00";0,5815;115,62571120800001;0;;0;;;;;;;
"1931-01-01 00:00:00";0,70943;122,60673268200001;0;;0;;;;;;;
"1932-01-01 00:00:00";0,8141000000000002;117,49157956199997;0;;0;;;;;;;
"1933-01-01 00:00:00";1,01181;128,31477855;0;;0,15714285714285717;;;;;;;
"1934-01-01 00:00:00";1,06996;149,97280187400003;0;;0,01428571428571429;;;;;;;
"1935-01-01 00:00:00";1,63983;174,92079868199997;0;;0,01428571428571429;;;;;;;
"1936-01-01 00:00:00";1,9305800000000002;196,433505156;0;;0,017142857142857144;;;;;;;
"1937-01-01 00:00:00";2,25622;182,442398838;0;;0;;;;;;;
"1938-01-01 00:00:00";3,1633600000000004;167,108564826;0;;0;;;;;;;
"1939-01-01 00:00:00";4,465920000000001;201,63003571199997;0;;0;;;;;;;
"1940-01-01 00:00:00";6,80355;257,69908911600004;0;;0;;;;;;;
"1941-01-01 00:00:00";7,71069;322,15583110200004;0;;0;;;;;;;
"1942-01-01 00:00:00";9,501710000000001;339,309032076;0;;0;;;;;;;
"1943-01-01 00:00:00";3,6169300000000004;293,301717366;0;;0;;;;;;;
"1944-01-01 00:00:00";2,3376300000000003;296,603316198;0;;0;;;;;;;
"1945-01-01 00:00:00";2,03525;152,78613608999999;0;;0;;;;;;;
"1946-01-01 00:00:00";0,8141000000000002;94,990718508;0;;0;;;;;;;
"1947-01-01 00:00:00";0,6047600000000001;101,942676612;0;;0;;;;;;;
"1948-01-01 00:00:00";0,84899;72,19341107999999;0;;0;;;;;;;
"1949-01-01 00:00:00";1,3723400000000001;180,192894;0;;0;;;;;;;
"1950-01-01 00:00:00";2,34926;249,47996808000005;0;;2,428571428571429;;;;;;;
"1951-01-01 00:00:00";3,55878;308,59486265999993;0;;2,857142857142857;;;;;;;
"1952-01-01 00:00:00";5,07068;386,48469426;0;;3,6;;;;;;;
"1953-01-01 00:00:00";7,233860000000001;405,02712432;0;;4,4;;;;;;;
"1954-01-01 00:00:00";9,176070000000001;486,28830684;0;;6,228571428571429;;;;;;;
"1955-01-01 00:00:00";11,234580000000001;571,3858542;1,3247577933333332;;6,742857142857144;;;;;;;
"1956-01-01 00:00:00";13,52569;641,48670264;2,7699481133333332;;9,885714285714288;;;;;;;
"1957-01-01 00:00:00";16,9798;759,8908720200001;3,974273379999999;;10,000000000000002;;;;;;;
"1958-01-01 00:00:00";26,330320000000004;1569,42198;4,757084803333332;;14,285714285714286;;;;;;;
"1959-01-01 00:00:00";43,031000000000006;2021,6480171999997;5,539896226666666;;24,285714285714285;;;;;;;
"1960-01-01 00:00:00";63,965;2441,32308;6,322707649999999;;34,000000000000014;;;;;;;
"1961-01-01 00:00:00";72,10600000000001;1453,1685000000002;7,1055190733333315;;34,2857142857143;;;;;;;
"1962-01-01 00:00:00";79,084;1453,1685000000002;7,888330496666666;;34,2857142857143;;;;;;;
