;"Oil";"Coal";"Gas";"Nuclear";"Hydroelectricity";"Biomass and Waste";"Wind";"Solar, Tide, Wave, Fuel Cell";"Fuel Ethanol";"Geothermal";"Biodiesel";"Peat"
"1900-01-01 00:00:21";0;;;;;;;;;;;
"1901-01-01 00:00:21";0;;;;;;;;;;;
"1902-01-01 00:00:21";0;;;;;;;;;;;
"1903-01-01 00:00:21";0;;;;;;;;;;;
"1904-01-01 00:00:21";0;;;;;;;;;;;
"1905-01-01 00:00:21";0;;;;;;;;;;;
"1906-01-01 00:00:21";0;;;;;;;;;;;
"1907-01-01 00:00:21";0;;;;;;;;;;;
"1908-01-01 00:00:21";0;;;;;;;;;;;
"1909-01-01 00:00:21";0;;;;;;;;;;;
"1910-01-01 00:00:21";0;;;;;;;;;;;
"1911-01-01 00:00:21";0;;;;;;;;;;;
"1912-01-01 00:00:00";0;;;;;;;;;;;
"1913-01-01 00:00:00";0;;;;;;;;;;;
"1914-01-01 00:00:00";0;;;;;;;;;;;
"1915-01-01 00:00:00";0;;;;;;;;;;;
"1916-01-01 00:00:00";0;;;;;;;;;;;
"1917-01-01 00:00:00";0;;;;;;;;;;;
"1918-01-01 00:00:00";0;;;;;;;;;;;
"1919-01-01 00:00:00";0;;;;;;;;;;;
"1920-01-01 00:00:00";0;;;;;;;;;;;
"1921-01-01 00:00:00";0;;;;;;;;;;;
"1922-01-01 00:00:00";0;;;;;;;;;;;
"1923-01-01 00:00:00";0;;;;;;;;;;;
"1924-01-01 00:00:00";0;;;;;;;;;;;
"1925-01-01 00:00:00";0;;;;;;;;;;;
"1926-01-01 00:00:00";0;;;;;;;;;;;
"1927-01-01 00:00:00";0;;;;;;;;;;;
"1928-01-01 00:00:00";0;;;;;;;;;;;
"1929-01-01 00:00:00";0;;;;;;;;;;;
"1930-01-01 00:00:00";0;;;;;;;;;;;
"1931-01-01 00:00:00";0;;;;;;;;;;;
"1932-01-01 00:00:00";0;;;;;;;;;;;
"1933-01-01 00:00:00";0;;;;;;;;;;;
"1934-01-01 00:00:00";0;;;;;;;;;;;
"1935-01-01 00:00:00";0;;;;;;;;;;;
"1936-01-01 00:00:00";0;;;;;;;;;;;
"1937-01-01 00:00:00";0;;;;;;;;;;;
"1938-01-01 00:00:00";0;;;;;;;;;;;
"1939-01-01 00:00:00";0;;;;;;;;;;;
"1940-01-01 00:00:00";0;;;;;;;;;;;
"1941-01-01 00:00:00";0;;;;;;;;;;;
"1942-01-01 00:00:00";0;;;;;;;;;;;
"1943-01-01 00:00:00";0;;;;;;;;;;;
"1944-01-01 00:00:00";0;;;;;;;;;;;
"1945-01-01 00:00:00";0;;;;;;;;;;;
"1946-01-01 00:00:00";0;;;;;;;;;;;
"1947-01-01 00:00:00";0;;;;;;;;;;;
"1948-01-01 00:00:00";0;;;;;;;;;;;
"1949-01-01 00:00:00";0;;;;;;;;;;;
"1950-01-01 00:00:00";0;;;;;;;;;;;
"1951-01-01 00:00:00";0;;;;;;;;;;;
"1952-01-01 00:00:00";0;;;;;;;;;;;
"1953-01-01 00:00:00";0;;;;;;;;;;;
"1954-01-01 00:00:00";0;;;;;;;;;;;
"1955-01-01 00:00:00";0;;;;;;;;;;;
"1956-01-01 00:00:00";0;;;;;;;;;;;
"1957-01-01 00:00:00";0;;;;;;;;;;;
"1958-01-01 00:00:00";0;;;;;;;;;;;
"1959-01-01 00:00:00";0;;;;;;;;;;;
"1960-01-01 00:00:00";0;;;;;;;;;;;
"1961-01-01 00:00:00";0;;;;;;;;;;;
"1962-01-01 00:00:00";0;;;;;;;;;;;
"1963-01-01 00:00:00";0;;;;;;;;;;;
"1964-01-01 00:00:00";0;;;;;;;;;;;
"1965-01-01 00:00:00";0;;;;;;;;;;;
"1966-01-01 00:00:00";0;;;;;;;;;;;
"1967-01-01 00:00:00";0;;;;;;;;;;;
"1968-01-01 00:00:00";0;;;;;;;;;;;
"1969-01-01 00:00:00";0;;;;;;;;;;;
"1970-01-01 00:00:00";0;;;;;;;;;;;
"1971-01-01 00:00:00";0;;;;;;;;;;;
"1972-01-01 00:00:00";0;;;;;;;;;;;
"1973-01-01 00:00:00";0;;;;;;;;;;;
"1974-01-01 00:00:00";0;;;;;;;;;;;
"1975-01-01 00:00:00";0;;;;;;;;;;;
"1976-01-01 00:00:00";0;;;;;;;;;;;
"1977-01-01 00:00:00";0;;;;;;;;;;;
"1978-01-01 00:00:00";0;;;;;;;;;;;
"1979-01-01 00:00:00";0;;;;;;;;;;;
"1980-01-01 00:00:00";0,63363361492;0;0;0;3,8428572874999998;0;0;0;0;0;;
"1981-01-01 00:00:00";4,420318770000001;0;0;0;4,9314284276;0;0;0;0;0;;
"1982-01-01 00:00:00";5,6851944299;0;0;0;4,9457142544;0;0;0;0;0;;
"1983-01-01 00:00:00";14,528829835;0;0;0;3,0485714348000004;0;0;0;0;0;;
"1984-01-01 00:00:00";17,102310420000002;0;0;0;1,05428574891;0;0;0;0;0;;
"1985-01-01 00:00:00";17,687271508000002;0;0;0;3,8399999128;0;0;0;0;0;;
"1986-01-01 00:00:00";12,633764366;0;0;0;3,3685715826;0;0;0;0;0;;
"1987-01-01 00:00:00";11,3703888598;0;0;0;3,4742858403000003;0;0;0;0;0;;
"1988-01-01 00:00:00";7,5997387533000005;0;0;0;3,5057142871;0;0;0;0;0;;
"1989-01-01 00:00:00";1,2631624446;0;0;0;3,5714284391;0;0;0;0;0;;
"1990-01-01 00:00:00";1,2631624446;0;0;0;3,7399999393;0;0;0;0;0;;
"1991-01-01 00:00:00";1,2631624446;0;0;0;3,5485715349;0;0;0;0;0;;
"1992-01-01 00:00:00";0,94996733544;0;0;0;2,9657144302;0;0;0;0;0;;
"1993-01-01 00:00:00";0,31579073908000005;0;0;0;3,1057141605000003;0;0;0;0;0;;
"1994-01-01 00:00:00";4,2947522186;0;0;0;3,3199999343;0;0;0;0;0;;
"1995-01-01 00:00:00";5,0673576579;0;0,43303572310000005;0;5,0457142279000005;0;0;0;0;0;;
"1996-01-01 00:00:00";10,1329845392;0;3,9045081501000007;0;5,0400001763;0;0;0;0;0;;
"1997-01-01 00:00:00";11,852961056;0;6,507513699800001;0;5,3142855853;0;0;0;0;0;;
"1998-01-01 00:00:00";12,631624446;0;8,676684196500002;0;3,8942854964;0;0;0;0;0;;
"1999-01-01 00:00:00";9,473718218200002;0;14,533445782;0;4,9600000812000005;0;0;0;0;0;;
"2000-01-01 00:00:00";7,281352384300001;0;14,641904836;0;4,9885715022;0;0;0;0;0;0;
"2001-01-01 00:00:00";6,947393329000001;0;14,641904836;0;5,0914285015;0;0;0;0;0;0;
"2002-01-01 00:00:00";7,5789745513;0;13,894918077;0;4,891428554500001;0;0;0;0;0;0;
"2003-01-01 00:00:00";12,000042177000001;0;13,894918077;0;5,1828572813000005;0;0;0;0;0;0;
"2004-01-01 00:00:00";16,466100574000002;0;13,480144594;0;4,9457142544;0,29722221130000004;0;0;0;0;0;
"2005-01-01 00:00:00";24,631666623;0;13,480144594;0;4,0657143713;0,30555555987;0;0,00028571429141000004;0;0;0;
"2006-01-01 00:00:00";39,158033224;0;13,480144594;0;4,2714287188;0,3111111062;0;0,0005714285828200001;0;0;0;
"2007-01-01 00:00:00";32,842223327;0;15,554014335000002;0;5,082856958900001;0,31944445477000005;0;0,0005714285828200001;0;0;0;
"2008-01-01 00:00:00";37,469895693000005;0;16,590947461;0;5,368571285200001;0,32777778008;0;0,0005714285828200001;0;0;0;
"2009-01-01 00:00:00";36,51629384300001;0;16,590947461;0;6,0285713429;0,20000000515;0;0,0014285713989;0;0;0;
"2010-01-01 00:00:00";27,685720905;0;17,161261727;0;4,5771429235;0,19166667984000005;0;0,0057142855956;0;0;0;
"2011-01-01 00:00:00";25,005230364;0;16,902027864;0;5,017142806900001;0,17777777331;0;0,0057142855956;0;0;0;
"2012-01-01 00:00:00";24,013674009000002;0;18,457429879000003;0;5,060000054700001;0,18333333127;0;0,0057142855956;0;0;0;
"2013-01-01 00:00:00";23,369939553000005;0;21,194936495000004;0;4,542857102000001;0,18888888923000002;0;0,0057142855956;0;0;0;
"2014-01-01 00:00:00";22,738320068000004;0;21,371214731;0;5,4114285330000005;0,19444444719;0;0,0085714287423;0;0;0;
"2015-01-01 00:00:00";18,316980184000002;0;21,391953347;0;3,8228569439;0,29166667660000006;0;0,0114285711912;0;0;0;
"2016-01-01 00:00:00";31,034172355;0;23,953160793000002;0;4,3257144187000005;0,48055554257;0;0,014285713989;0;0;0;
