;"Oil";"Coal";"Gas";"Nuclear";"Hydroelectricity";"Biomass and Waste";"Wind";"Solar, Tide, Wave, Fuel Cell";"Fuel Ethanol";"Geothermal";"Biodiesel";"Peat"
"1900-01-01 00:00:21";0;0;0;;0;;;;;;;0
"1901-01-01 00:00:21";0;0;0;;0;;;;;;;0
"1902-01-01 00:00:21";0;0;0;;0;;;;;;;0
"1903-01-01 00:00:21";0;0;0;;0;;;;;;;0
"1904-01-01 00:00:21";0;0;0;;0;;;;;;;0
"1905-01-01 00:00:21";0;0;0;;0;;;;;;;0
"1906-01-01 00:00:21";0;0;0;;0;;;;;;;0
"1907-01-01 00:00:21";0;0;0;;0;;;;;;;0
"1908-01-01 00:00:21";0;0;0;;0;;;;;;;0
"1909-01-01 00:00:21";0;0;0;;0;;;;;;;0
"1910-01-01 00:00:21";0;0;0;;0;;;;;;;0
"1911-01-01 00:00:21";0;0;0;;0;;;;;;;0
"1912-01-01 00:00:00";0;0;0;;0;;;;;;;0
"1913-01-01 00:00:00";0;0;0;;0;;;;;;;0
"1914-01-01 00:00:00";0;0;0;;0;;;;;;;0,48846000000000006
"1915-01-01 00:00:00";0;0;0;;0;;;;;;;0,39076799999999984
"1916-01-01 00:00:00";0;0;0;;0;;;;;;;1,1397400000000002
"1917-01-01 00:00:00";0;0;0;;0;;;;;;;5,291650000000001
"1918-01-01 00:00:00";0;0;0;;0;;;;;;;8,1450705
"1919-01-01 00:00:00";0;0;0;;0;;;;;;;6,1057500000000005
"1920-01-01 00:00:00";0;0;0;;0;;;;;;;0
"1921-01-01 00:00:00";0;0;0;;0;;;;;;;0
"1922-01-01 00:00:00";0;0;0;;0;;;;;;;0
"1923-01-01 00:00:00";0;0;0;;0;;;;;;;0
"1924-01-01 00:00:00";0;0;0;;0;;;;;;;0
"1925-01-01 00:00:00";0;0;0;;0;;;;;;;0
"1926-01-01 00:00:00";0;0;0;;0;;;;;;;0
"1927-01-01 00:00:00";0;0;0;;0;;;;;;;0
"1928-01-01 00:00:00";0;0;0;;0;;;;;;;0
"1929-01-01 00:00:00";0;0;0;;0;;;;;;;0
"1930-01-01 00:00:00";0;0;0;;0;;;;;;;0
"1931-01-01 00:00:00";0;0;0;;0;;;;;;;0
"1932-01-01 00:00:00";0;0;0;;0;;;;;;;0
"1933-01-01 00:00:00";0;0;0;;0;;;;;;;0
"1934-01-01 00:00:00";0;0;0;;0;;;;;;;1,5264375000000001
"1935-01-01 00:00:00";0;0;0;;0;;;;;;;1,3229125000000002
"1936-01-01 00:00:00";0;0;0;;0;;;;;;;0
"1937-01-01 00:00:00";0;0;0;;0;;;;;;;0
"1938-01-01 00:00:00";0;0;0;;0;;;;;;;0
"1939-01-01 00:00:00";0;0;0;;0,051428571428571435;;;;;;;0
"1940-01-01 00:00:00";0;0,5795577900000001;0;;0,06857142857142857;;;;;;;10,2291665
"1941-01-01 00:00:00";0;2,5644150000000003;0;;0,05714285714285715;;;;;;;19,025517
"1942-01-01 00:00:00";0;4,615947;0;;0,08285714285714285;;;;;;;19,636092
"1943-01-01 00:00:00";0;6,667478999999999;0;;0,07142857142857144;;;;;;;25,188254
"1944-01-01 00:00:00";0;5,641713;0;;0,07142857142857144;;;;;;;23,669957500000002
"1945-01-01 00:00:00";0;5,8981545;0;;0,09142857142857143;;;;;;;23,1407925
"1946-01-01 00:00:00";0;5,8981545;0;;0,07714285714285715;;;;;;;15,081202500000002
"1947-01-01 00:00:00";0;7,180362;0;;0,06571428571428571;;;;;;;21,166600000000003
"1948-01-01 00:00:00";0;6,154595999999999;0;;0,06571428571428571;;;;;;;14,7229985
"1949-01-01 00:00:00";0;4,103064;0;;0,0742857142857143;;;;;;;5,763828
"1950-01-01 00:00:00";0;1,97459955;0;;0,09714285714285717;;;;;;;3,671591
"1951-01-01 00:00:00";0;4,05690453;0;;0,08857142857142858;;;;;;;8,197987
"1952-01-01 00:00:00";0;4,105628415000001;0;;0,08571428571428573;;;;;;;6,618633
"1953-01-01 00:00:00";0;2,04640317;0;;0,08857142857142858;;;;;;;2,3364670000000003
"1954-01-01 00:00:00";0;1,7412377849999998;0;;0,08571428571428573;;;;;;;2,2184225
"1955-01-01 00:00:00";0;2,0540964150000005;0;;0,08571428571428573;;;;;;;2,8981960000000004
"1956-01-01 00:00:00";0;3,57992334;0;;0,0742857142857143;;;;;;;2,873773
"1957-01-01 00:00:00";0;6,564902399999999;0;;0,07714285714285715;;;;;;;2,9877470000000006
"1958-01-01 00:00:00";0;6,269994675000001;0;;0,08285714285714285;;;;;;;1,5671425
"1959-01-01 00:00:00";0;6,890583105;0;;0,07142857142857144;;;;;;;1,70961
"1960-01-01 00:00:00";0;6,854681295000001;0;;0,07142857142857144;;;;;;;0,691985
"1961-01-01 00:00:00";0;6,395651010000001;0;;0,0742857142857143;;;;;;;0,45996650000000006
"1962-01-01 00:00:00";0;6,55464474;0;;0,0742857142857143;;;;;;;0,24830050000000004
"1963-01-01 00:00:00";0;6,44181048;0;;0,07142857142857144;;;;;;;0,20352500000000004
"1964-01-01 00:00:00";0;5,628890925;0;;0,07142857142857144;;;;;;;0,16282
"1965-01-01 00:00:00";0;5,459639534999999;0;;0,07142857142857144;;;;;;;0,113974
"1966-01-01 00:00:00";0;5,0826705300000015;0;;0,0742857142857143;;;;;;;0,1506085
"1967-01-01 00:00:00";0;3,3388683299999995;0;;0,07142857142857144;;;;;;;0,18317249999999996
"1968-01-01 00:00:00";0;1,9489553999999998;0;;0,06000000000000002;;;;;;;0,16282
"1969-01-01 00:00:00";0;1,105262865;0;;0,06285714285714286;;;;;;;0,1668905
"1970-01-01 00:00:00";0;0,3461960250000001;0;;0,06857142857142857;;;;;;;0,13839700000000002
"1971-01-01 00:00:00";0;0;0;;0,06857142857142857;;;;;;;0,154679
"1972-01-01 00:00:00";0,88388;0;0;;0,06857142857142857;;;;;;;0,1750315
"1973-01-01 00:00:00";0,7908400000000001;0;0;;0,06857142857142857;;;;;;;0,15874950000000002
"1974-01-01 00:00:00";1,0350700000000002;0;0;;0,06857142857142857;;;;;;;0,130256
"1975-01-01 00:00:00";1,7212400000000003;0;0;;0,06857142857142857;;;;;;;0,14246750000000002
"1976-01-01 00:00:00";2,26785;0;0;;0,06857142857142857;;;;;;;0,15874950000000002
"1977-01-01 00:00:00";5,84989;0;0;;0,06285714285714286;;;;;;;0,16282
"1978-01-01 00:00:00";5,024160000000001;0;0;;0,06571428571428571;;;;;;;0,1913135
"1979-01-01 00:00:00";5,000900000000001;0;0;;0,07142857142857144;;;;;;;0,19538399999999997
"1980-01-01 00:00:00";3,6581553262;0;0;0;0,08571428393400002;0;0;0;0;0;;
"1981-01-01 00:00:00";9,117188473;0;0;0;0,088571429523;0;0;0;0;0;;
"1982-01-01 00:00:00";21,273441321;0;0;0;0,08000000205999999;0;0;0;0;0;;
"1983-01-01 00:00:00";27,351566582;0;0,4848760992;0;0,10285714234900001;0;0,06857143017100001;0;0;0;;
"1984-01-01 00:00:00";28,035979289;0;3,5557579445000003;0;0,08000000205999999;0;0,11142857446400001;0;0;0;;
"1985-01-01 00:00:00";35,253129305;0;13,899781743000002;0;0,07714285647100001;0;0,17142857252000002;0;0;0;;
"1986-01-01 00:00:00";46,193756403;0;23,274052529000002;0;0,082857142997;0;0,3885714419;0;0;0;;
"1987-01-01 00:00:00";58,957818637;0;29,739068348;0;0,082857142997;0;0,52285715549;0;0;0;;
"1988-01-01 00:00:00";60,338305452000014;0;30,062319546000005;0;0,09142856929700001;0;0,8628571468;0;0;0;;
"1989-01-01 00:00:00";71,11407032200002;0;35,234330573;0;0,07714285647100001;0;1,2257143098;0,04285714196700001;0;0;;
"1990-01-01 00:00:00";73,545324148;0;35,880832969;0;0,07714285647100001;0,5833333532000001;1,7428571462;0,057142857119;0;0;;
"1991-01-01 00:00:00";86,91720158300001;0;44,931852557000006;0;0,074285716697;0,9888888982000001;2,1142857355;0;0;0;;
"1992-01-01 00:00:00";99,344888164;0;46,88428649000001;0;0,08000000205999999;1,4527777320000002;2,6142857193;0;0;0;;
"1993-01-01 00:00:00";105,75939140400003;0;51,973703582999995;0;0,07714285647100001;2,027777725;2,9542856292000006;0;0;0;;
"1994-01-01 00:00:00";112,43201086400002;0;56,16400421299999;0;0,09428571023400001;2,233333323;3,2485713818;0;0;0;;
"1995-01-01 00:00:00";113,099769411;0;60,86986972100001;0;0,08571428393400002;2,536111069;3,3628571821;0;0;0;;
"1996-01-01 00:00:00";126,72475983999999;0;73,88668907099999;0;0,054285717345000005;3,2638890222;3,5057142871;0;0;0;;
"1997-01-01 00:00:00";140,08996747;0;89,60385835;0;0,054285717345000005;3,7777776683000006;5,5257143333;0;0;0;;
"1998-01-01 00:00:00";144,87421220000002;0;88,571797031;0;0,076371431593;4,0833331235;8,0571424665;0;0;0;;
"1999-01-01 00:00:00";182,45367296000003;0;90,952912764;0;0,088571429523;5,002777663500001;8,654285398;0,0028571427978;0;0;;
"2000-01-01 00:00:00";221,20047171000002;0;96,293479707;0;0,08571428393400002;5,1555555074;12,117142321000001;0,0028571427978;0;0;0;
"2001-01-01 00:00:00";210,42638156;0;98,09335362600001;0;0,08000000205999999;5,8416667759;12,302855976;0,0028571427978;0;0;0,24916128282;
"2002-01-01 00:00:00";225,35359123;0;98,29042281299999;0;0,09142856929700001;6,9499997283;13,934285627000001;0,0028571427978;0;0;0,39865805949;
"2003-01-01 00:00:00";227,95803669000003;0;93,15300871000001;0;0,05999999805600001;8,7833332736;15,888571056;0,0057142855956;0;0;0,44849030675;
"2004-01-01 00:00:00";237,17663760000005;0;109,79817523099999;0;0,07714285647100001;9,891667040100002;18,808570980000002;0,0057142855956;0;0;0,64781934231;
"2005-01-01 00:00:00";229,23383606000002;0;121,31496066999999;0;0,065714284582;11,0805556527;18,897142734000003;0,0057142855956;0;0;0,7026348119700001;
"2006-01-01 00:00:00";207,87482934000002;0;120,60811253000001;0;0,065714284582;10,811111463800001;17,451429064000003;0,0057142855956;0;0;0,7026348119700001;
"2007-01-01 00:00:00";189,36748699000003;0;106,91027410700002;0;0,08000000205999999;10,8305557771;20,488571;0,0057142855956;0;0;0,7026348119700001;
"2008-01-01 00:00:00";174,62325211;0;116,58890083000001;0;0,074285716697;11,0944445476;19,794285586000004;0,0085714287423;0;0;0,98667870974;
"2009-01-01 00:00:00";158,01953142000002;0;97,24169105200001;0;0,054285717345000005;11,419444781300001;19,202858218000003;0,0114285711912;0;0;0,87206451313;
"2010-01-01 00:00:00";149,13473477;0;94,97081725199999;0;0,05999999805600001;14,833333473000001;22,311428125000003;0,017142857252;0,02936399387;0;0,76741674969;
"2011-01-01 00:00:00";134,41750475;0;76,28921679700001;0;0,048571430819000005;14,313888827;27,925715259;0,04285714196700001;0,041109319276000006;0;0,7873496858100001;
"2012-01-01 00:00:00";123,26637000000001;0;66,72747622600001;0;0,048571430819000005;14,377778231999999;29,342856344999998;0,29714285981000005;0,035429549426999996;0;0,7375173804;
"2013-01-01 00:00:00";106,61259611599999;0;55,38319276200001;0;0,037142857767000007;13,96944428;31,779999603000004;1,4799999567;0,035644253183;0;1,04647735528;
"2014-01-01 00:00:00";100,442333343;0;53,526885431;0;0,04285714196700001;13,958334141;37,368571644;1,7028571568000002;0,021181050275000002;0;1,1012928249400002;
"2015-01-01 00:00:00";95,01257593;0;53,597370209000005;0;0,051428570593;13,78888853;40,37999965;1,7257142936;0,014269288940000003;0;0,9418296616200001;
"2016-01-01 00:00:00";85,716154038;0;52,4367625;0;0,054285717345000005;15,619444715000002;36,520000324;2,1257141876000003;0,022627403595;0;1,4451354264;
