lat,lon,crs,total
-89.5,-179.5,b'',-43.045498
-89.5,-178.5,b'',-43.012733
-89.5,-177.5,b'',-42.99765
-89.5,-176.5,b'',-42.98138
-89.5,-175.5,b'',-42.96276
-89.5,-174.5,b'',-42.943645
-89.5,-173.5,b'',-42.925518
-89.5,-172.5,b'',-42.894485
-89.5,-171.5,b'',-42.88307
-89.5,-170.5,b'',-42.820004
-89.5,-169.5,b'',-42.79341
-89.5,-168.5,b'',-42.782818
-89.5,-167.5,b'',-42.77304
-89.5,-166.5,b'',-42.750015
-89.5,-165.5,b'',-42.741615
-89.5,-164.5,b'',-42.724834
-89.5,-163.5,b'',-42.71206
-89.5,-162.5,b'',-42.704567
-89.5,-161.5,b'',-42.683556
-89.5,-160.5,b'',-42.672836
-89.5,-159.5,b'',-42.66558
-89.5,-158.5,b'',-42.639713
-89.5,-157.5,b'',-42.63118
-89.5,-156.5,b'',-42.622467
-89.5,-155.5,b'',-42.60878
-89.5,-154.5,b'',-42.603245
-89.5,-153.5,b'',-42.58029
-89.5,-152.5,b'',-42.56065
-89.5,-151.5,b'',-42.54745
-89.5,-150.5,b'',-42.530125
-89.5,-149.5,b'',-42.515408
-89.5,-148.5,b'',-42.505928
-89.5,-147.5,b'',-42.490875
-89.5,-146.5,b'',-42.494144
-89.5,-145.5,b'',-42.493454
-89.5,-144.5,b'',-42.48913
-89.5,-143.5,b'',-42.47393
-89.5,-142.5,b'',-42.45647
-89.5,-141.5,b'',-42.450615
-89.5,-140.5,b'',-42.449432
-89.5,-139.5,b'',-42.44578
-89.5,-138.5,b'',-42.441875
-89.5,-137.5,b'',-42.435333
-89.5,-136.5,b'',-42.42994
-89.5,-135.5,b'',-42.43164
-89.5,-134.5,b'',-42.42896
-89.5,-133.5,b'',-42.432953
-89.5,-132.5,b'',-42.415646
-89.5,-131.5,b'',-42.417675
-89.5,-130.5,b'',-42.41539
-89.5,-129.5,b'',-42.40792
-89.5,-128.5,b'',-42.405476
-89.5,-127.5,b'',-42.400646
-89.5,-126.5,b'',-42.395256
-89.5,-125.5,b'',-42.381935
-89.5,-124.5,b'',-42.377537
-89.5,-123.5,b'',-42.36769
-89.5,-122.5,b'',-42.36273
-89.5,-121.5,b'',-42.35814
-89.5,-120.5,b'',-42.356647
-89.5,-119.5,b'',-42.34806
-89.5,-118.5,b'',-42.350124
-89.5,-117.5,b'',-42.350285
-89.5,-116.5,b'',-42.356327
-89.5,-115.5,b'',-42.361343
-89.5,-114.5,b'',-42.363514
-89.5,-113.5,b'',-42.34898
-89.5,-112.5,b'',-42.346634
-89.5,-111.5,b'',-42.337204
-89.5,-110.5,b'',-42.333122
-89.5,-109.5,b'',-42.327564
-89.5,-108.5,b'',-42.31627
-89.5,-107.5,b'',-42.300957
-89.5,-106.5,b'',-42.28856
-89.5,-105.5,b'',-42.277332
-89.5,-104.5,b'',-42.272247
-89.5,-103.5,b'',-42.26629
-89.5,-102.5,b'',-42.26668
-89.5,-101.5,b'',-42.26035
-89.5,-100.5,b'',-42.26786
-89.5,-99.5,b'',-42.26931
-89.5,-98.5,b'',-42.27829
-89.5,-97.5,b'',-42.2771
-89.5,-96.5,b'',-42.267147
-89.5,-95.5,b'',-42.26897
-89.5,-94.5,b'',-42.270206
-89.5,-93.5,b'',-42.272484
-89.5,-92.5,b'',-42.271076
-89.5,-91.5,b'',-42.26712
-89.5,-90.5,b'',-42.266228
-89.5,-89.5,b'',-42.268772
-89.5,-88.5,b'',-42.26026
-89.5,-87.5,b'',-42.265305
-89.5,-86.5,b'',-42.26668
-89.5,-85.5,b'',-42.264668
-89.5,-84.5,b'',-42.265705
-89.5,-83.5,b'',-42.266384
-89.5,-82.5,b'',-42.269802
-89.5,-81.5,b'',-42.268913
-89.5,-80.5,b'',-42.27133
-89.5,-79.5,b'',-42.27105
-89.5,-78.5,b'',-42.27779
-89.5,-77.5,b'',-42.276478
-89.5,-76.5,b'',-42.281765
-89.5,-75.5,b'',-42.283493
-89.5,-74.5,b'',-42.29315
-89.5,-73.5,b'',-42.295044
-89.5,-72.5,b'',-42.305202
-89.5,-71.5,b'',-42.31008
-89.5,-70.5,b'',-42.318985
-89.5,-69.5,b'',-42.32116
-89.5,-68.5,b'',-42.32659
-89.5,-67.5,b'',-42.332623
-89.5,-66.5,b'',-42.3384
-89.5,-65.5,b'',-42.34715
-89.5,-64.5,b'',-42.35416
-89.5,-63.5,b'',-42.359528
-89.5,-62.5,b'',-42.377716
-89.5,-61.5,b'',-42.3792
-89.5,-60.5,b'',-42.38846
-89.5,-59.5,b'',-42.396923
-89.5,-58.5,b'',-42.401943
-89.5,-57.5,b'',-42.41022
-89.5,-56.5,b'',-42.42032
-89.5,-55.5,b'',-42.428024
-89.5,-54.5,b'',-42.43934
-89.5,-53.5,b'',-42.443707
-89.5,-52.5,b'',-42.450184
-89.5,-51.5,b'',-42.46123
-89.5,-50.5,b'',-42.469585
-89.5,-49.5,b'',-42.47494
-89.5,-48.5,b'',-42.48431
-89.5,-47.5,b'',-42.49042
-89.5,-46.5,b'',-42.50259
-89.5,-45.5,b'',-42.515583
-89.5,-44.5,b'',-42.52476
-89.5,-43.5,b'',-42.540802
-89.5,-42.5,b'',-42.551594
-89.5,-41.5,b'',-42.556877
-89.5,-40.5,b'',-42.57457
-89.5,-39.5,b'',-42.58268
-89.5,-38.5,b'',-42.586025
-89.5,-37.5,b'',-42.599262
-89.5,-36.5,b'',-42.613747
-89.5,-35.5,b'',-42.625557
-89.5,-34.5,b'',-42.644886
-89.5,-33.5,b'',-42.647892
-89.5,-32.5,b'',-42.654682
-89.5,-31.5,b'',-42.668507
-89.5,-30.5,b'',-42.68354
-89.5,-29.5,b'',-42.692734
-89.5,-28.5,b'',-42.708878
-89.5,-27.5,b'',-42.71626
-89.5,-26.5,b'',-42.742527
-89.5,-25.5,b'',-42.75217
-89.5,-24.5,b'',-42.76248
-89.5,-23.5,b'',-42.778656
-89.5,-22.5,b'',-42.787804
-89.5,-21.5,b'',-42.796238
-89.5,-20.5,b'',-42.818695
-89.5,-19.5,b'',-42.8253
-89.5,-18.5,b'',-42.839317
-89.5,-17.5,b'',-42.854412
-89.5,-16.5,b'',-42.859596
-89.5,-15.5,b'',-42.87193
-89.5,-14.5,b'',-42.881737
-89.5,-13.5,b'',-42.88826
-89.5,-12.5,b'',-42.90539
-89.5,-11.5,b'',-42.922684
-89.5,-10.5,b'',-42.92955
-89.5,-9.5,b'',-42.947514
-89.5,-8.5,b'',-42.95619
-89.5,-7.5,b'',-42.959568
-89.5,-6.5,b'',-42.984146
-89.5,-5.5,b'',-42.990517
-89.5,-4.5,b'',-43.002117
-89.5,-3.5,b'',-43.010796
-89.5,-2.5,b'',-43.02612
-89.5,-1.5,b'',-43.04565
-89.5,-0.5,b'',-43.065742
-89.5,0.5,b'',-43.066036
-89.5,1.5,b'',-43.094193
-89.5,2.5,b'',-43.11507
-89.5,3.5,b'',-43.125988
-89.5,4.5,b'',-43.15388
-89.5,5.5,b'',-43.171238
-89.5,6.5,b'',-43.173862
-89.5,7.5,b'',-43.19998
-89.5,8.5,b'',-43.203587
-89.5,9.5,b'',-43.212894
-89.5,10.5,b'',-43.232315
-89.5,11.5,b'',-43.241978
-89.5,12.5,b'',-43.244785
-89.5,13.5,b'',-43.265354
-89.5,14.5,b'',-43.271442
-89.5,15.5,b'',-43.28864
-89.5,16.5,b'',-43.303574
-89.5,17.5,b'',-43.31062
-89.5,18.5,b'',-43.329674
-89.5,19.5,b'',-43.347763
-89.5,20.5,b'',-43.356606
-89.5,21.5,b'',-43.389496
-89.5,22.5,b'',-43.400715
-89.5,23.5,b'',-43.417744
-89.5,24.5,b'',-43.432236
-89.5,25.5,b'',-43.44473
-89.5,26.5,b'',-43.466133
-89.5,27.5,b'',-43.494694
-89.5,28.5,b'',-43.497597
-89.5,29.5,b'',-43.52785
-89.5,30.5,b'',-43.556347
-89.5,31.5,b'',-43.58206
-89.5,32.5,b'',-43.599636
-89.5,33.5,b'',-43.61993
-89.5,34.5,b'',-43.6282
-89.5,35.5,b'',-43.641556
-89.5,36.5,b'',-43.648956
-89.5,37.5,b'',-43.64953
-89.5,38.5,b'',-43.67436
-89.5,39.5,b'',-43.702698
-89.5,40.5,b'',-43.710377
-89.5,41.5,b'',-43.721203
-89.5,42.5,b'',-43.739334
-89.5,43.5,b'',-43.75102
-89.5,44.5,b'',-43.802643
-89.5,45.5,b'',-43.834183
-89.5,46.5,b'',-43.871902
-89.5,47.5,b'',-43.87714
-89.5,48.5,b'',-43.88615
-89.5,49.5,b'',-43.895954
-89.5,50.5,b'',-43.908405
-89.5,51.5,b'',-43.919598
-89.5,52.5,b'',-43.94238
-89.5,53.5,b'',-43.960453
-89.5,54.5,b'',-43.98497
-89.5,55.5,b'',-44.00025
-89.5,56.5,b'',-44.011566
-89.5,57.5,b'',-44.024918
-89.5,58.5,b'',-44.032055
-89.5,59.5,b'',-44.04291
-89.5,60.5,b'',-44.056477
-89.5,61.5,b'',-44.068577
-89.5,62.5,b'',-44.095333
-89.5,63.5,b'',-44.134598
-89.5,64.5,b'',-44.16338
-89.5,65.5,b'',-44.172817
-89.5,66.5,b'',-44.19164
-89.5,67.5,b'',-44.20284
-89.5,68.5,b'',-44.207855
-89.5,69.5,b'',-44.223873
-89.5,70.5,b'',-44.23306
-89.5,71.5,b'',-44.246223
-89.5,72.5,b'',-44.25301
-89.5,73.5,b'',-44.263287
-89.5,74.5,b'',-44.26886
-89.5,75.5,b'',-44.278873
-89.5,76.5,b'',-44.2831
-89.5,77.5,b'',-44.29553
-89.5,78.5,b'',-44.310066
-89.5,79.5,b'',-44.333183
-89.5,80.5,b'',-44.339108
-89.5,81.5,b'',-44.38415
-89.5,82.5,b'',-44.389427
-89.5,83.5,b'',-44.39603
-89.5,84.5,b'',-44.393734
-89.5,85.5,b'',-44.395985
-89.5,86.5,b'',-44.38997
-89.5,87.5,b'',-44.383133
-89.5,88.5,b'',-44.39206
-89.5,89.5,b'',-44.388107
-89.5,90.5,b'',-44.39208
-89.5,91.5,b'',-44.399433
-89.5,92.5,b'',-44.398148
-89.5,93.5,b'',-44.397995
-89.5,94.5,b'',-44.4007
-89.5,95.5,b'',-44.40354
-89.5,96.5,b'',-44.410202
-89.5,97.5,b'',-44.408287
-89.5,98.5,b'',-44.411915
-89.5,99.5,b'',-44.41989
-89.5,100.5,b'',-44.414345
-89.5,101.5,b'',-44.413155
-89.5,102.5,b'',-44.4138
-89.5,103.5,b'',-44.409073
-89.5,104.5,b'',-44.40679
