lat,lon,crs,total
-89.5,-179.5,b'',3.2170804
-89.5,-178.5,b'',3.2105277
-89.5,-177.5,b'',3.2110646
-89.5,-176.5,b'',3.21134
-89.5,-175.5,b'',3.213851
-89.5,-174.5,b'',3.2116659
-89.5,-173.5,b'',3.2085989
-89.5,-172.5,b'',3.211971
-89.5,-171.5,b'',3.2072213
-89.5,-170.5,b'',3.205775
-89.5,-169.5,b'',3.2068806
-89.5,-168.5,b'',3.2065487
-89.5,-167.5,b'',3.2024162
-89.5,-166.5,b'',3.2050495
-89.5,-165.5,b'',3.206339
-89.5,-164.5,b'',3.2062037
-89.5,-163.5,b'',3.2054906
-89.5,-162.5,b'',3.1937275
-89.5,-161.5,b'',3.2067358
-89.5,-160.5,b'',3.208691
-89.5,-159.5,b'',3.2077441
-89.5,-158.5,b'',3.2047262
-89.5,-157.5,b'',3.2039661
-89.5,-156.5,b'',3.2032526
-89.5,-155.5,b'',3.204775
-89.5,-154.5,b'',3.1999588
-89.5,-153.5,b'',3.193468
-89.5,-152.5,b'',3.1940699
-89.5,-151.5,b'',3.2015135
-89.5,-150.5,b'',3.2028213
-89.5,-149.5,b'',3.2029562
-89.5,-148.5,b'',3.2021084
-89.5,-147.5,b'',3.2007275
-89.5,-146.5,b'',3.1965516
-89.5,-145.5,b'',3.1979635
-89.5,-144.5,b'',3.1985652
-89.5,-143.5,b'',3.1972325
-89.5,-142.5,b'',3.1979465
-89.5,-141.5,b'',3.19888
-89.5,-140.5,b'',3.1977637
-89.5,-139.5,b'',3.1986725
-89.5,-138.5,b'',3.2021275
-89.5,-137.5,b'',3.203458
-89.5,-136.5,b'',3.197375
-89.5,-135.5,b'',3.2005763
-89.5,-134.5,b'',3.2008834
-89.5,-133.5,b'',3.1983254
-89.5,-132.5,b'',3.2081733
-89.5,-131.5,b'',3.2002857
-89.5,-130.5,b'',3.1990087
-89.5,-129.5,b'',3.1978734
-89.5,-128.5,b'',3.1999836
-89.5,-127.5,b'',3.210341
-89.5,-126.5,b'',3.2098007
-89.5,-125.5,b'',3.207117
-89.5,-124.5,b'',3.2056818
-89.5,-123.5,b'',3.20231
-89.5,-122.5,b'',3.2137022
-89.5,-121.5,b'',3.2134094
-89.5,-120.5,b'',3.2139063
-89.5,-119.5,b'',3.2126343
-89.5,-118.5,b'',3.212702
-89.5,-117.5,b'',3.211446
-89.5,-116.5,b'',3.211829
-89.5,-115.5,b'',3.2093673
-89.5,-114.5,b'',3.207552
-89.5,-113.5,b'',3.2071736
-89.5,-112.5,b'',3.211275
-89.5,-111.5,b'',3.2106678
-89.5,-110.5,b'',3.2068882
-89.5,-109.5,b'',3.2063508
-89.5,-108.5,b'',3.2079318
-89.5,-107.5,b'',3.2064087
-89.5,-106.5,b'',3.2080133
-89.5,-105.5,b'',3.206535
-89.5,-104.5,b'',3.2049606
-89.5,-103.5,b'',3.2017145
-89.5,-102.5,b'',3.1997457
-89.5,-101.5,b'',3.2007089
-89.5,-100.5,b'',3.2038965
-89.5,-99.5,b'',3.2045496
-89.5,-98.5,b'',3.2017446
-89.5,-97.5,b'',3.1976829
-89.5,-96.5,b'',3.2062092
-89.5,-95.5,b'',3.2018015
-89.5,-94.5,b'',3.2004364
-89.5,-93.5,b'',3.205475
-89.5,-92.5,b'',3.2062302
-89.5,-91.5,b'',3.2056313
-89.5,-90.5,b'',3.2023087
-89.5,-89.5,b'',3.2017746
-89.5,-88.5,b'',3.2055485
-89.5,-87.5,b'',3.207718
-89.5,-86.5,b'',3.1987865
-89.5,-85.5,b'',3.19905
-89.5,-84.5,b'',3.2033317
-89.5,-83.5,b'',3.2100863
-89.5,-82.5,b'',3.2109725
-89.5,-81.5,b'',3.2071054
-89.5,-80.5,b'',3.2061172
-89.5,-79.5,b'',3.2069585
-89.5,-78.5,b'',3.2056885
-89.5,-77.5,b'',3.2066395
-89.5,-76.5,b'',3.2081788
-89.5,-75.5,b'',3.2070608
-89.5,-74.5,b'',3.2084565
-89.5,-73.5,b'',3.2127552
-89.5,-72.5,b'',3.213107
-89.5,-71.5,b'',3.2137067
-89.5,-70.5,b'',3.2136796
-89.5,-69.5,b'',3.2160492
-89.5,-68.5,b'',3.221964
-89.5,-67.5,b'',3.2180722
-89.5,-66.5,b'',3.2165127
-89.5,-65.5,b'',3.212147
-89.5,-64.5,b'',3.2124755
-89.5,-63.5,b'',3.2160323
-89.5,-62.5,b'',3.211644
-89.5,-61.5,b'',3.2154331
-89.5,-60.5,b'',3.2160742
-89.5,-59.5,b'',3.2181153
-89.5,-58.5,b'',3.2232664
-89.5,-57.5,b'',3.222951
-89.5,-56.5,b'',3.2232797
-89.5,-55.5,b'',3.221341
-89.5,-54.5,b'',3.2208042
-89.5,-53.5,b'',3.2208402
-89.5,-52.5,b'',3.222742
-89.5,-51.5,b'',3.223478
-89.5,-50.5,b'',3.2223248
-89.5,-49.5,b'',3.2192056
-89.5,-48.5,b'',3.2173038
-89.5,-47.5,b'',3.2190115
-89.5,-46.5,b'',3.2203507
-89.5,-45.5,b'',3.2174816
-89.5,-44.5,b'',3.2177918
-89.5,-43.5,b'',3.2197917
-89.5,-42.5,b'',3.215901
-89.5,-41.5,b'',3.2212453
-89.5,-40.5,b'',3.2173355
-89.5,-39.5,b'',3.2166636
-89.5,-38.5,b'',3.2216358
-89.5,-37.5,b'',3.225707
-89.5,-36.5,b'',3.2192302
-89.5,-35.5,b'',3.219556
-89.5,-34.5,b'',3.2211702
-89.5,-33.5,b'',3.2218304
-89.5,-32.5,b'',3.222824
-89.5,-31.5,b'',3.2303035
-89.5,-30.5,b'',3.2296467
-89.5,-29.5,b'',3.226879
-89.5,-28.5,b'',3.2265797
-89.5,-27.5,b'',3.2222295
-89.5,-26.5,b'',3.2182388
-89.5,-25.5,b'',3.2164023
-89.5,-24.5,b'',3.2159917
-89.5,-23.5,b'',3.2156758
-89.5,-22.5,b'',3.2160223
-89.5,-21.5,b'',3.2172902
-89.5,-20.5,b'',3.2226446
-89.5,-19.5,b'',3.222113
-89.5,-18.5,b'',3.2178113
-89.5,-17.5,b'',3.219144
-89.5,-16.5,b'',3.223935
-89.5,-15.5,b'',3.2292259
-89.5,-14.5,b'',3.2316706
-89.5,-13.5,b'',3.2294276
-89.5,-12.5,b'',3.2320008
-89.5,-11.5,b'',3.2260127
-89.5,-10.5,b'',3.2256205
-89.5,-9.5,b'',3.2240167
-89.5,-8.5,b'',3.2212596
-89.5,-7.5,b'',3.2251375
-89.5,-6.5,b'',3.2198908
-89.5,-5.5,b'',3.2173715
-89.5,-4.5,b'',3.2198155
-89.5,-3.5,b'',3.223112
-89.5,-2.5,b'',3.2221847
-89.5,-1.5,b'',3.2241907
-89.5,-0.5,b'',3.226153
-89.5,0.5,b'',3.2291102
-89.5,1.5,b'',3.235117
-89.5,2.5,b'',3.2346551
-89.5,3.5,b'',3.2347624
-89.5,4.5,b'',3.230431
-89.5,5.5,b'',3.227831
-89.5,6.5,b'',3.227031
-89.5,7.5,b'',3.2310967
-89.5,8.5,b'',3.234818
-89.5,9.5,b'',3.2342224
-89.5,10.5,b'',3.2320719
-89.5,11.5,b'',3.2296393
-89.5,12.5,b'',3.2326386
-89.5,13.5,b'',3.2369964
-89.5,14.5,b'',3.2344527
-89.5,15.5,b'',3.2369277
