lat,lon,crs,total
-89.5,-179.5,b'',0.25511858
-89.5,-178.5,b'',0.25606048
-89.5,-177.5,b'',0.25649482
-89.5,-176.5,b'',0.2569143
-89.5,-175.5,b'',0.25720856
-89.5,-174.5,b'',0.2578624
-89.5,-173.5,b'',0.25806412
-89.5,-172.5,b'',0.25889602
-89.5,-171.5,b'',0.2590005
-89.5,-170.5,b'',0.25991523
-89.5,-169.5,b'',0.26352853
-89.5,-168.5,b'',0.26746908
-89.5,-167.5,b'',0.26763716
-89.5,-166.5,b'',0.26810586
-89.5,-165.5,b'',0.2682581
-89.5,-164.5,b'',0.26861855
-89.5,-163.5,b'',0.26900318
-89.5,-162.5,b'',0.26922283
-89.5,-161.5,b'',0.2692071
-89.5,-160.5,b'',0.2693614
-89.5,-159.5,b'',0.26924452
-89.5,-158.5,b'',0.26978263
-89.5,-157.5,b'',0.26971495
-89.5,-156.5,b'',0.2700552
-89.5,-155.5,b'',0.27083737
-89.5,-154.5,b'',0.2709382
-89.5,-153.5,b'',0.2716446
-89.5,-152.5,b'',0.27207193
-89.5,-151.5,b'',0.271873
-89.5,-150.5,b'',0.27198657
-89.5,-149.5,b'',0.27159762
-89.5,-148.5,b'',0.2708555
-89.5,-147.5,b'',0.27068785
-89.5,-146.5,b'',0.27071285
-89.5,-145.5,b'',0.2700395
-89.5,-144.5,b'',0.27027887
-89.5,-143.5,b'',0.27040973
-89.5,-142.5,b'',0.2707923
-89.5,-141.5,b'',0.27135563
-89.5,-140.5,b'',0.27183172
-89.5,-139.5,b'',0.2718306
-89.5,-138.5,b'',0.27263272
-89.5,-137.5,b'',0.27271745
-89.5,-136.5,b'',0.27277702
-89.5,-135.5,b'',0.27300584
-89.5,-134.5,b'',0.2720644
-89.5,-133.5,b'',0.26960808
-89.5,-132.5,b'',0.26645562
-89.5,-131.5,b'',0.26603195
-89.5,-130.5,b'',0.26573682
-89.5,-129.5,b'',0.26565325
-89.5,-128.5,b'',0.26509142
-89.5,-127.5,b'',0.2648969
-89.5,-126.5,b'',0.2649369
-89.5,-125.5,b'',0.265172
-89.5,-124.5,b'',0.26508585
-89.5,-123.5,b'',0.26539162
-89.5,-122.5,b'',0.265384
-89.5,-121.5,b'',0.2653234
-89.5,-120.5,b'',0.26524863
-89.5,-119.5,b'',0.26515144
-89.5,-118.5,b'',0.2649373
-89.5,-117.5,b'',0.26495522
-89.5,-116.5,b'',0.26448768
-89.5,-115.5,b'',0.26027814
-89.5,-114.5,b'',0.25891238
-89.5,-113.5,b'',0.25819722
-89.5,-112.5,b'',0.2581124
-89.5,-111.5,b'',0.257972
-89.5,-110.5,b'',0.25770962
-89.5,-109.5,b'',0.25739297
-89.5,-108.5,b'',0.25705016
-89.5,-107.5,b'',0.25660026
-89.5,-106.5,b'',0.2562413
-89.5,-105.5,b'',0.25573412
-89.5,-104.5,b'',0.25523245
-89.5,-103.5,b'',0.25445798
-89.5,-102.5,b'',0.25364798
-89.5,-101.5,b'',0.25288698
-89.5,-100.5,b'',0.25139943
-89.5,-99.5,b'',0.24945666
-89.5,-98.5,b'',0.24785534
-89.5,-97.5,b'',0.24613953
-89.5,-96.5,b'',0.24510606
-89.5,-95.5,b'',0.24539638
-89.5,-94.5,b'',0.24485403
-89.5,-93.5,b'',0.24484782
-89.5,-92.5,b'',0.24451756
-89.5,-91.5,b'',0.24418022
-89.5,-90.5,b'',0.24344257
-89.5,-89.5,b'',0.24318975
-89.5,-88.5,b'',0.24260032
-89.5,-87.5,b'',0.24231032
-89.5,-86.5,b'',0.24180989
-89.5,-85.5,b'',0.2412321
-89.5,-84.5,b'',0.24076495
-89.5,-83.5,b'',0.24052866
-89.5,-82.5,b'',0.23989278
-89.5,-81.5,b'',0.23961937
-89.5,-80.5,b'',0.2391213
-89.5,-79.5,b'',0.23886126
-89.5,-78.5,b'',0.23862632
-89.5,-77.5,b'',0.23805705
-89.5,-76.5,b'',0.23729903
-89.5,-75.5,b'',0.23672892
-89.5,-74.5,b'',0.23634838
-89.5,-73.5,b'',0.23583113
